id,bookmaker,p1,x,p2
aj-auxerre-vs-montpellier-hsc,tennisi-bet,2.39,3.38,3.02
aj-auxerre-vs-montpellier-hsc,1xstavka,2.43,3.30,3.17
aj-auxerre-vs-montpellier-hsc,olimp,2.38,3.38,3.13
aj-auxerre-vs-montpellier-hsc,marathonbet,2.31,3.42,3.08
aj-auxerre-vs-montpellier-hsc,melbet,2.43,3.30,3.17
aj-auxerre-vs-montpellier-hsc,winline,2.37,3.35,3.15
aj-auxerre-vs-montpellier-hsc,ligastavok,2.34,3.30,3.05
aj-auxerre-vs-montpellier-hsc,paribet,2.40,3.25,3.10
aj-auxerre-vs-montpellier-hsc,pinnacle,2.36,3.21,3.23
clermont-foot-vs-nantes,tennisi-bet,2.52,3.08,3.08
clermont-foot-vs-nantes,1xstavka,2.80,3.06,2.89
clermont-foot-vs-nantes,olimp,2.43,3.18,3.23
clermont-foot-vs-nantes,marathonbet,2.50,3.13,3.04
clermont-foot-vs-nantes,melbet,2.80,3.06,2.89
clermont-foot-vs-nantes,winline,2.44,3.15,3.20
clermont-foot-vs-nantes,ligastavok,2.46,3.10,3.05
clermont-foot-vs-nantes,paribet,2.50,3.00,3.10
clermont-foot-vs-nantes,pinnacle,2.66,2.94,3.04
racing-strasbourg-vs-toulouse-fc,tennisi-bet,2.47,3.40,2.86
racing-strasbourg-vs-toulouse-fc,1xstavka,2.38,3.38,3.18
racing-strasbourg-vs-toulouse-fc,olimp,2.46,3.48,2.93
racing-strasbourg-vs-toulouse-fc,marathonbet,2.40,3.38,2.97
racing-strasbourg-vs-toulouse-fc,melbet,2.38,3.38,3.18
racing-strasbourg-vs-toulouse-fc,winline,2.45,3.45,2.90
racing-strasbourg-vs-toulouse-fc,ligastavok,2.38,3.35,2.90
racing-strasbourg-vs-toulouse-fc,paribet,2.40,3.25,3.00
racing-strasbourg-vs-toulouse-fc,pinnacle,2.44,3.24,3.06
stade-brest-vs-sco-angers,1xstavka,2.23,3.19,3.72
stade-brest-vs-sco-angers,olimp,2.22,3.33,3.53
stade-brest-vs-sco-angers,marathonbet,2.16,3.32,3.50
stade-brest-vs-sco-angers,melbet,2.23,3.19,3.72
stade-brest-vs-sco-angers,winline,2.20,3.30,3.55
stade-brest-vs-sco-angers,ligastavok,2.16,3.25,3.45
stade-brest-vs-sco-angers,paribet,2.20,3.25,3.50
stade-brest-vs-sco-angers,pinnacle,2.29,3.08,3.51
ac-ajaccio-vs-olympique-lyon,fonbet,4.90,3.60,1.77
ac-ajaccio-vs-olympique-lyon,tennisi-bet,4.95,3.64,1.77
ac-ajaccio-vs-olympique-lyon,1xstavka,4.50,3.80,1.85
ac-ajaccio-vs-olympique-lyon,olimp,4.88,3.68,1.79
ac-ajaccio-vs-olympique-lyon,leon,4.73,3.64,1.77
ac-ajaccio-vs-olympique-lyon,marathonbet,4.30,3.64,1.76
ac-ajaccio-vs-olympique-lyon,melbet,4.38,3.70,1.80
ac-ajaccio-vs-olympique-lyon,winline,4.80,3.65,1.79
ac-ajaccio-vs-olympique-lyon,ligastavok,4.80,3.65,1.79
ac-ajaccio-vs-olympique-lyon,paribet,4.90,3.60,1.80
ac-ajaccio-vs-olympique-lyon,pinnacle,4.99,3.65,1.82
paris-saint-germain-vs-stade-reims,fonbet,1.27,6.00,10.50
paris-saint-germain-vs-stade-reims,tennisi-bet,1.24,6.60,11.50
paris-saint-germain-vs-stade-reims,1xstavka,1.26,6.90,11.50
paris-saint-germain-vs-stade-reims,olimp,1.24,6.77,12.00
paris-saint-germain-vs-stade-reims,leon,1.25,6.30,10.60
paris-saint-germain-vs-stade-reims,marathonbet,1.24,6.45,11.25
paris-saint-germain-vs-stade-reims,melbet,1.22,6.75,11.50
paris-saint-germain-vs-stade-reims,winline,1.24,6.80,11.00
paris-saint-germain-vs-stade-reims,ligastavok,1.26,6.60,11.00
paris-saint-germain-vs-stade-reims,paribet,1.24,6.60,13.50
paris-saint-germain-vs-stade-reims,pinnacle,1.25,6.85,11.58
real-valladolid-vs-valencia-cf,1xstavka,4.65,2.38,2.53
real-valladolid-vs-valencia-cf,melbet,4.66,2.38,2.52
real-valladolid-vs-valencia-cf,paribet,3.90,2.55,2.45
real-valladolid-vs-valencia-cf,pinnacle,4.03,2.37,2.67
ca-osasuna-vs-atletico-madrid,fonbet,4.15,3.25,2.00
ca-osasuna-vs-atletico-madrid,tennisi-bet,4.05,3.22,2.06
ca-osasuna-vs-atletico-madrid,1xstavka,4.04,3.34,2.08
ca-osasuna-vs-atletico-madrid,olimp,4.08,3.23,2.08
ca-osasuna-vs-atletico-madrid,betcity,4.10,3.20,2.10
ca-osasuna-vs-atletico-madrid,leon,4.01,3.22,2.04
ca-osasuna-vs-atletico-madrid,marathonbet,4.05,3.30,2.00
ca-osasuna-vs-atletico-madrid,melbet,3.94,3.26,2.03
ca-osasuna-vs-atletico-madrid,winline,4.00,3.20,2.09
ca-osasuna-vs-atletico-madrid,ligastavok,4.00,3.20,2.10
ca-osasuna-vs-atletico-madrid,paribet,4.20,3.25,2.03
ca-osasuna-vs-atletico-madrid,pinnacle,4.33,3.28,2.05
celta-de-vigo-vs-athletic-bilbao,fonbet,3.05,3.00,2.60
celta-de-vigo-vs-athletic-bilbao,tennisi-bet,3.02,2.98,2.62
celta-de-vigo-vs-athletic-bilbao,1xstavka,3.11,3.02,2.68
celta-de-vigo-vs-athletic-bilbao,olimp,3.08,3.03,2.63
celta-de-vigo-vs-athletic-bilbao,betcity,3.10,3.00,2.65
celta-de-vigo-vs-athletic-bilbao,leon,3.03,2.98,2.60
celta-de-vigo-vs-athletic-bilbao,marathonbet,3.04,2.95,2.62
celta-de-vigo-vs-athletic-bilbao,melbet,3.03,2.94,2.61
celta-de-vigo-vs-athletic-bilbao,winline,3.05,3.05,2.60
celta-de-vigo-vs-athletic-bilbao,ligastavok,3.00,3.00,2.65
celta-de-vigo-vs-athletic-bilbao,paribet,3.10,3.00,2.65
celta-de-vigo-vs-athletic-bilbao,pinnacle,3.13,3.04,2.68
real-madrid-vs-real-sociedad,fonbet,1.75,3.80,5.30
real-madrid-vs-real-sociedad,tennisi-bet,1.72,3.92,5.30
real-madrid-vs-real-sociedad,1xstavka,1.74,3.84,5.30
real-madrid-vs-real-sociedad,olimp,1.75,3.92,5.03
real-madrid-vs-real-sociedad,betcity,1.72,3.90,5.30
